latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,
12.970123,77.56364,918,19800,Asia/Kolkata,GMT+5:30,,,,,,,,
,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),rain (mm),weather_code (wmo code),surface_pressure (hPa),cloud_cover (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),is_day ()
2023-01-01T00:00,16.2,74,11.7,0,0,914.8,1,0.02,0.47,9.4,97,15.1,0
2023-01-01T01:00,16.1,75,11.6,0,0,914.1,0,0.02,0.46,9.8,96,16.2,0
2023-01-01T02:00,15.6,80,12.1,0,3,913.3,83,0.01,0.36,9.8,96,16.2,0
2023-01-01T03:00,15.3,84,12.7,0,2,913,78,0,0.27,10.2,100,16.9,0
2023-01-01T04:00,14.8,89,13.1,0,2,912.9,61,0,0.18,9.1,99,16.9,0
2023-01-01T05:00,14.9,94,14,0,0,913.6,1,0,0.1,8.7,95,14.8,0
2023-01-01T06:00,14.9,95,14.1,0,0,914.2,5,0,0.09,8,95,14.4,0
2023-01-01T07:00,16.3,91,14.7,0,0,915.5,0,0.02,0.17,10.5,96,15.8,1
2023-01-01T08:00,19.7,77,15.5,0,0,917.2,0,0.14,0.53,7.2,96,16.9,1
2023-01-01T09:00,22.8,57,13.7,0,1,918.6,24,0.31,1.2,7.9,87,19.4,1
2023-01-01T10:00,24.6,46,12.2,0,2,918.5,79,0.46,1.66,9.7,63,23.4,1
2023-01-01T11:00,25.9,41,11.6,0,3,918.2,83,0.57,1.97,11,52,25.9,1
2023-01-01T12:00,26.8,38,11.3,0,0,917.2,0,0.62,2.18,12,51,27.4,1
2023-01-01T13:00,27.2,38,11.6,0,0,916.1,0,0.62,2.25,12,51,28.1,1
2023-01-01T14:00,27.4,38,11.7,0,0,915,0,0.57,2.27,11.6,60,27.7,1
2023-01-01T15:00,27.2,39,11.9,0,0,914.3,0,0.47,2.2,11.6,64,26.3,1
2023-01-01T16:00,26.5,41,12.1,0,0,914.2,10,0.33,2.04,11.3,63,25.2,1
2023-01-01T17:00,25,43,11.7,0,0,914.5,6,0.17,1.79,9.2,59,22.3,1
2023-01-01T18:00,22.4,51,11.8,0,3,914.5,88,0.08,1.32,8.7,73,15.5,0
2023-01-01T19:00,21.2,55,11.7,0,3,915.2,84,0.06,1.14,10.5,86,16.9,0
2023-01-01T20:00,19.8,59,11.6,0,2,915.6,79,0.05,0.95,11.2,90,18.4,0
2023-01-01T21:00,18.9,64,12,0,1,915.8,49,0.05,0.77,13.4,98,22.3,0
2023-01-01T22:00,18.4,67,12.1,0,3,915.8,83,0.05,0.71,15.2,97,24.8,0
2023-01-01T23:00,18,69,12.3,0,2,915.3,56,0.05,0.63,16,99,26.6,0
2023-01-02T00:00,17.6,73,12.8,0,0,914.8,18,0.04,0.53,15.8,102,26.6,0
2023-01-02T01:00,17.1,80,13.6,0,0,914.1,4,0.02,0.39,14.6,106,26.6,0
2023-01-02T02:00,16.5,86,14.1,0,0,913.3,0,0.01,0.26,12.3,105,24.5,0
2023-01-02T03:00,15.9,91,14.4,0,0,912.9,0,0,0.16,10.7,102,20.9,0
2023-01-02T04:00,15.5,93,14.4,0,0,912.8,0,0,0.12,9.9,100,18,0
2023-01-02T05:00,15.5,96,14.8,0,0,913.5,0,0,0.07,9.1,97,16.6,0
2023-01-02T06:00,15.4,95,14.7,0,2,914,65,0,0.08,8.7,95,14.8,0
2023-01-02T07:00,16.5,89,14.7,0,0,915,6,0.03,0.2,11.5,94,18,1
2023-01-02T08:00,19.3,73,14.4,0,2,916.7,52,0.14,0.6,10.2,98,20.5,1
2023-01-02T09:00,21.9,54,12.2,0,1,917.7,29,0.31,1.21,12.2,104,25.9,1
2023-01-02T10:00,24,42,10.2,0,1,918,21,0.47,1.74,14.5,97,30.2,1
2023-01-02T11:00,25.2,37,9.4,0,0,917.4,0,0.58,2.03,16.2,94,33.5,1
2023-01-02T12:00,26.1,35,9.6,0,0,916.6,0,0.63,2.18,15.8,91,33.5,1
2023-01-02T13:00,26.6,34,9.7,0,0,915.7,0,0.63,2.28,15.5,91,33.1,1
2023-01-02T14:00,26.6,35,10,0,0,914.7,0,0.58,2.25,15.5,91,32.8,1
2023-01-02T15:00,26.1,36,10,0,1,914.2,24,0.48,2.15,15.2,95,32.4,1
2023-01-02T16:00,25.3,39,10.2,0,1,914.2,26,0.35,1.98,15.2,95,30.6,1
2023-01-02T17:00,23.9,45,11.4,0,0,914.4,7,0.19,1.62,13.1,99,28.4,1
2023-01-02T18:00,21.7,52,11.3,0,0,914.7,2,0.09,1.25,11.2,105,22.3,0
2023-01-02T19:00,20.7,57,11.8,0,0,915.4,0,0.06,1.05,12.3,105,20.2,0
